Hostname,IP
sipp02.voip.lab.evolveip.net,10.128.4.5
source02.core,10.32.32.36
sso-nfs01,10.32.32.60
syslog01.core,10.32.32.15
syslog03.core,10.128.0.250
tftp01-anx.evolveip.net,208.89.20.234
tftp01-dct.evolveip.net,208.89.20.233
tftp01-nacr.evolveip.net,208.89.20.236
tftp01-vxn.evolveip.net,208.89.20.231
tftp01.core,10.160.0.14
tftp02.core,10.160.0.15
tftp03.evolveip.net,10.160.0.109
tn-oracle01.voip.evolveip.net,10.128.3.245
tr-apria01.voip.evolveip.net,10.128.0.136
tr-apria02.voip.evolveip.net,10.128.0.146
tr-apria03.voip.evolveip.net,10.128.0.147
tr-apria04.voip.evolveip.net,10.128.0.230
tr-apria05.voip.evolveip.net,10.128.0.229
tr-apria06.voip.evolveip.net,10.128.0.228
tr-apria07.voip.evolveip.net,10.128.0.227
tr1-dev.voip.lab.evolveip.net,10.128.3.27
tr1-hth.voip.evolveip.net,10.128.0.140
tr1.voip.evolveip.net,10.128.0.231
tr2-dev.voip.lab.evolveip.net,10.128.3.28
tr2.voip,10.128.0.137
tr3.voip,10.128.0.148
tr4.voip.evolveip.net,10.128.0.234
triarq-sftp01.evolveip.net,10.160.1.122
ts-sftp01.evolveip.net,10.160.1.236
ums1.voip.evolveip.net,10.160.1.160
ums1.voip.lab.evolveip.net,10.128.4.66
ums11.voip.evolveip.net,10.160.1.161
ums12.voip.evolveip.net,10.160.5.161
ums13.voip.evolveip.net,10.160.1.162
ums14.voip.evolveip.net,10.160.5.162
ums2.voip.evolveip.net,10.160.5.160
ums3.voip.lab.evolveip.net,10.128.4.76
uss1.voip.evolveip.net,10.160.1.150
uss1.voip.lab.evolveip.net,10.128.4.68
uss11.voip.evolveip.net,10.160.1.151
uss12.voip.evolveip.net,10.160.5.151
uss13.voip.evolveip.net,10.160.1.152
uss14.voip.evolveip.net,10.160.5.152
uss2.voip.evolveip.net,10.160.5.150
uss3.voip.lab.evolveip.net,10.128.4.78
uvs1.voip.evolveip.net,10.128.1.180
uvs1.voip.lab.evolveip.net,10.128.4.65
uvs11.voip.evolveip.net,10.128.1.181
vcd-cell01,10.32.64.210
vcd-cell01-lv.evolveip.net,10.160.4.79
vcd-cell02.evolveip.net,10.160.1.79
vcd-nfs,10.32.64.209
vcd-nfs-lv.evolveip.net,10.160.4.85
vcd-nfs02.evolveip.net,10.160.0.74
vcd-sftp-lv.evolveip.net,10.160.4.84
wea-ftp01.evolveip.net,10.160.0.66
wireshark,10.32.32.21
wrs1.voip.evolveip.net,10.128.1.170
wrs1.voip.lab.evolveip.net,10.128.4.67
wrs11.voip.evolveip.net,10.128.1.171
wrs12.voip.evolveip.net,10.128.9.171
wrs13.voip.evolveip.net,10.128.1.176
wrs2.voip.evolveip.net,10.128.9.170
wrs3.voip.evolveip.net,10.128.1.175
ws.ossmosis.evolveip.net,10.160.1.139
ws01-lv.evolveip.net,10.160.4.53
ws01.ossmosis.evolveip.net,10.132.0.106
ws02.ossmosis.evolveip.net,10.132.0.107
www07.evolveip.net,10.160.0.56
www08.evolveip.net,10.160.0.75
www09.evolveip.net,208.89.21.252
www10.evolveip.net,10.160.0.205
www11.evolveip.net,10.160.1.7
xml-app-dev.voip.evolveip.net,10.160.1.124
xml-app.voip,10.160.0.19
xsp11.voip,10.128.0.77
xsp11.voip.lab,10.128.4.35
xsp12.voip,10.160.2.66
xsp12.voip.lab,10.128.4.38
xsp13.voip,10.160.4.69
xsp14.voip,10.160.6.69
xsp16.voip,10.160.4.170
xsp17.voip,10.160.0.171
xsp18.voip,10.160.4.171
xsp19.voip,10.160.0.172
xsp20.voip,10.128.0.78
xsp21.voip,10.160.0.173
xsp22.voip,10.128.0.79
xsp23.voip,10.160.0.174
xsp24.voip,10.160.4.174
xsp25.voip,10.160.0.175
xsp26.voip,10.160.4.175
xsp27.voip,10.160.0.176
xsp28.voip,10.160.4.176
xsp29.voip,10.160.0.177
xsp30.voip,10.160.4.177
xsp31.voip,10.160.0.178
xsp32.voip,10.160.4.178
xsp33.voip,10.160.0.179
xsp34.voip,10.160.4.179
xsp35.voip,10.160.0.180
xsp36.voip,10.160.4.180
xsp5.voip,10.128.0.82
xsp6.voip,10.128.0.83
ztproxy01.evolveip.net,10.160.0.73
